group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/e1,0.25761,2.19609,n/a,n/a,10.15874,10.15874,n/a
0_1-1,oh5/e5,n/a,n/a,9.08696,n/a,n/a,n/a,n/a
0_1-2,4h5/1s5,n/a,n/a,n/a,n/a,3.83784,3.83784,n/a
0_1-3,oh1/oe,0.0,4.06049,n/a,12.04052,9.63038,13.77496,n/a
0_1-4,oh5/oe,0.0,4.13059,7.64661,12.9176,n/a,n/a,n/a
0_2-0,oh1/e1,0.22738,2.16124,n/a,n/a,n/a,n/a,n/a
0_2-1,e1/oh1,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_3-0,2h3/2e,0.0,3.91367,n/a,n/a,n/a,n/a,n/a
0_3-1,e1/oh1,0.21256,2.12495,n/a,7.71095,n/a,n/a,n/a
0_3-2,2h1,n/a,n/a,n/a,n/a,2.87128,2.87128,n/a
0_4-0,4h3/e3,0.24589,2.47817,n/a,8.20389,n/a,n/a,n/a
0_4-1,2h3/2e,0.0,3.34347,n/a,n/a,n/a,n/a,n/a
0_4-2,oh1,n/a,n/a,n/a,8.65398,n/a,n/a,7.23894
0_4-3,e3,0.0,2.9581,n/a,n/a,n/a,n/a,n/a
0_4-4,2e,n/a,n/a,n/a,n/a,4.29342,4.29342,n/a
0_4-5,4e,n/a,n/a,7.58533,3.07078,2.61555,2.61555,5.75551
0_6-0,e5/4h5,0.2341,2.78587,6.89441,10.784,9.41147,9.41147,n/a
0_6-1,4h5/e5,n/a,n/a,n/a,n/a,n/a,n/a,6.9346
0_6-2,oh5/e5,n/a,n/a,5.65399,n/a,n/a,n/a,n/a
0_7-0,e5/4h5,n/a,n/a,n/a,5.79128,3.10482,3.10482,n/a
0_7-1,oh5/e5,0.0,4.07815,5.58802,12.4146,n/a,n/a,n/a
1_6-0,os2,n/a,n/a,n/a,n/a,n/a,n/a,3.2213
1_6-1,b25/os2,0.23917,1.10739,n/a,n/a,n/a,n/a,n/a
1_6-2,oe/3ob,n/a,n/a,n/a,n/a,n/a,n/a,6.93146
1_7-0,3ob,0.0,1.77595,7.68081,n/a,n/a,n/a,n/a
1_8-0,3h2/3e,0.15037,1.96051,4.23589,8.95593,n/a,n/a,10.69037
1_8-1,3h4/e4,0.0,2.62056,3.60698,n/a,n/a,n/a,n/a
1_8-2,5s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,8.80144
1_8-3,3e/3h4,n/a,n/a,n/a,n/a,n/a,6.91264,n/a
2_3-0,b14,0.0,2.86278,n/a,n/a,12.13799,12.13799,n/a
2_7-0,3ob,0.0,2.48206,n/a,n/a,n/a,n/a,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a,n/a,n/a
3_4-1,25b,n/a,n/a,3.7039,n/a,n/a,n/a,n/a
3_8-0,5e,0.19289,1.98488,5.29508,8.6217,12.99899,12.99899,n/a
3_8-1,3h4/3e,n/a,13.49458,n/a,n/a,n/a,n/a,n/a
3_8-2,5h4,n/a,n/a,n/a,n/a,3.45313,5.6846,n/a
4_5-0,bo3,0.0,2.40767,n/a,n/a,n/a,n/a,n/a
4_6-0,14b,0.1555,1.45752,n/a,7.57857,4.74532,4.74532,n/a
4_6-1,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,5.16816
4_7-0,3ob,n/a,n/a,n/a,n/a,n/a,n/a,7.27973
4_7-1,14b,0.0,n/a,n/a,n/a,n/a,n/a,n/a
4_7-2,3s1/b14,n/a,n/a,n/a,7.61733,n/a,n/a,n/a
4_7-3,1s5/14b,n/a,n/a,n/a,5.04894,n/a,n/a,n/a
4_8-0,5e,0.1553,1.66634,n/a,4.56998,3.42437,3.42437,10.35129
4_8-1,3h4/3s1,0.21256,n/a,n/a,n/a,n/a,n/a,n/a
4_8-2,5ho/5e,0.25097,2.43081,8.08248,7.68276,8.49919,8.49919,n/a
5_6-0,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,5.9262
