LM1,TS,LM2,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e(a),1c4,0.215,0.125,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.485
2so,5ho,1c4,n/a,n/a,n/a,0.129,0.249,0.148,0.165,n/a
2so,5e,1c4,0.188,0.216,n/a,0.104,0.178,0.287,0.32,0.121
1s3,5ho,1c4,n/a,n/a,n/a,n/a,0.249,n/a,n/a,n/a
3ob,3h2,1c4,n/a,0.206,0.435,0.283,n/a,n/a,n/a,0.122
os2,3h2,1c4,n/a,0.206,0.435,0.283,n/a,n/a,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,0.188,0.216,n/a,0.104,0.178,0.287,0.32,n/a
1s3,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,0.147,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.122
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,0.188,n/a,n/a,n/a,n/a,n/a,n/a,n/a
