LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,0.215,0.125,n/a,n/a,0.131,n/a,n/a,n/a,n/a,0.311
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.485,n/a
2so,5ho,1c4,n/a,n/a,n/a,0.129,0.18,0.249,0.148,0.165,n/a,n/a
2so,5e,1c4,0.188,0.216,n/a,0.104,n/a,0.178,0.287,0.32,0.121,0.662
1s3,5ho,1c4,n/a,n/a,n/a,n/a,0.18,0.249,n/a,n/a,n/a,n/a
3ob,3h2,1c4,n/a,0.206,0.435,0.283,0.167,n/a,n/a,n/a,0.122,n/a
os2,3h2,1c4,n/a,0.206,0.435,0.283,0.167,n/a,n/a,n/a,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,0.188,0.216,n/a,0.104,0.123,0.178,0.287,0.32,n/a,n/a
1s3,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,0.147,n/a,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.101,n/a
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.122,n/a
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,0.188,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
