LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,4.557,3.819,3.917,4.277,3.512,2.546,2.756,2.756,3.017,2.932
1s5,1h2,1c4,5.959,4.851,4.759,n/a,n/a,2.67,n/a,n/a,1.253,n/a
2so,5ho,1c4,11.763,10.176,11.084,4.55,4.55,3.315,3.659,3.492,n/a,n/a
2so,5e,1c4,8.217,7.384,7.436,4.545,n/a,3.509,3.184,3.017,2.187,0.419
1s3,5ho,1c4,9.717,n/a,n/a,n/a,4.246,2.83,n/a,n/a,2.545,n/a
3ob,3h2,1c4,4.937,3.633,3.712,4.552,4.25,3.288,n/a,n/a,1.34,3.276
os2,3h2,1c4,4.367,3.79,3.44,4.279,4.253,2.661,4.916,4.968,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,3.53,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,4.96,n/a,n/a,n/a,n/a
5s1,5e,1c4,4.129,3.871,3.978,3.589,3.04,3.393,3.03,3.03,n/a,n/a
1s3,1e(b),1c4,8.521,8.003,8.456,5.654,5.507,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,6.926,n/a,7.103,5.236,4.454,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,5.361,4.957,5.913,5.595,4.902,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,3.624,3.37,2.875,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,5.478,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,6.347,n/a,n/a,n/a,n/a,n/a,5.825
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.43,3.182,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,3.211,4.025,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.198,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.226,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.79,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.134,n/a
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.895,n/a
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.618,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.522
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,9.307,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,6.172,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
